Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,40 W 56th St,"{'latitude': 40.76292, 'longitude': -73.976546}",803,4.5,10019
BNaveJmi-OUGKG9sRfrIhA,Mr. Sun,48 W 48th St,"{'latitude': 40.75809, 'longitude': -73.98026}",188,4.5,10036
HduEOz0RSK91GDr8EoxELw,Shun Lee - 98th ST,2596 Broadway,"{'latitude': 40.79576833206957, 'longitude': -73.97059000000002}",4,5.0,10025
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,334 W 46th St,"{'latitude': 40.76015, 'longitude': -73.9893699}",1632,4.0,10036
EmJ7rfmv2y6lQZxgA8U__g,Red Peony Chinese Cuisine,24 W 56th St,"{'latitude': 40.76278, 'longitude': -73.97589}",546,4.0,10019
h0pRCiJDrCN7tm3VX5tILQ,CHILI,13 E 37th St,"{'latitude': 40.75002, 'longitude': -73.98215}",581,4.5,10016
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou,295 Grand St,"{'latitude': 40.7174109, 'longitude': -73.9920876}",1176,4.5,10002
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,215 W 85th St,"{'latitude': 40.78752, 'longitude': -73.97647}",694,4.0,10024
UK1oGbr8GU2rufpnJR4-HQ,Joe's Home of Soup Dumplings,7 E 48th St,"{'latitude': 40.75723, 'longitude': -73.97702}",390,4.5,10017
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,46 Bowery St,"{'latitude': 40.7156608, 'longitude': -73.9967012}",7051,4.0,10013
xq0cX_DgxiJMXwhmEl9kUA,Café China,59 W 37th St,"{'latitude': 40.75157, 'longitude': -73.98584}",1857,4.0,10018
4FD0TAxe70nb3ngk3sXF9Q,Uluh,152 2nd Ave,"{'latitude': 40.7293403, 'longitude': -73.9866071}",791,4.5,10003
0dDCDQz7DrKkSvu9h2hcQw,Chow House,181 Bleecker St,"{'latitude': 40.72915, 'longitude': -74.00072}",585,4.5,10012
oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,409 W 15th St,"{'latitude': 40.74207, 'longitude': -74.00565}",1339,4.5,10011
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,90 3rd Ave,"{'latitude': 40.732072, 'longitude': -73.988074}",1347,4.0,10003
gNGxh97n0NZgYG1Q_no9Kg,Potluck Club,133 Chrystie St,"{'latitude': 40.71952, 'longitude': -73.99333}",127,4.5,10002
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1,79 Chrystie St,"{'latitude': 40.71735, 'longitude': -73.99457}",1973,4.5,10002
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,23 St Marks Pl,"{'latitude': 40.72911, 'longitude': -73.98858}",590,4.5,10003
