Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
x0k5kFArHLijdY8-NEQ7Xg,Bengal Tiger Indian Food,58 W 56th St,"{'latitude': 40.763167, 'longitude': -73.977131}",2264,4.5,10019
1_pK5aQ47atF50oAKHADhA,Indian Accent,123 W 56th St,"{'latitude': 40.7643344624229, 'longitude': -73.9787312885132}",698,4.5,10019
5UowQyu8tSljomOP-VL7NA,Tribhaanga,234 W 56th St,"{'latitude': 40.765496, 'longitude': -73.982754}",10,5.0,10019
z2VXX7wGl8XZ6_oo9W3koA,Patiala Indian Grill,371 W 34th St,"{'latitude': 40.7534700430117, 'longitude': -73.99595067259492}",543,4.5,10001
izRJeBfDQYJmd6ibIQ6Mfg,Mughlai Indian Cuisine,1724 2nd Ave,"{'latitude': 40.78002, 'longitude': -73.94978}",603,4.5,10128
3hlAeWgSKAnSQ1tg8k8D8g,Alachi Masala,488 Amsterdam Ave,"{'latitude': 40.786196, 'longitude': -73.976448}",271,4.0,10024
ut-560tVcs2g-ZU0Y_qqHQ,Saar Indian Bistro,241 W 51st St,"{'latitude': 40.7626659, 'longitude': -73.9847093}",351,4.5,10019
HEs6llkn3wIP1ATXeIZQew,Pippali,129 E 27th St,"{'latitude': 40.74233, 'longitude': -73.98331}",861,4.0,10016
Xqk91WuhMeYS4pedccUYgA,Gazab,179 Essex St,"{'latitude': 40.72191, 'longitude': -73.98666}",204,4.5,10002
Txm8KtUh9Mn2E7980jTr5g,Dhamaka,119 Delancey St,"{'latitude': 40.7180658, 'longitude': -73.9881304}",353,4.0,10002
u_CnSp9FieAuWqhvCn-A2A,Spice Mantra,1047 2nd Ave,"{'latitude': 40.75825, 'longitude': -73.96633}",62,4.5,10022
objNX6cuj1JyUijFjw21Qw,Bombay Bistro,31 Cornelia St,"{'latitude': 40.73136, 'longitude': -74.00253}",255,4.5,10014
qhXIW0LDT4XsoN2IE6dZHg,Ahimsa,204 E 38th St,"{'latitude': 40.7478959, 'longitude': -73.9758638}",195,4.5,10016
ZikqL-flwV2XYlKtL2UfmA,Rangoli Exquisite Indian Cuisine,1393 A 2nd Ave,"{'latitude': 40.7693, 'longitude': -73.95823}",497,4.5,10021
50eKjWOB-H9iuo1ocACOaQ,Imli Urban Indian Food,1136 1st Ave,"{'latitude': 40.7616660604253, 'longitude': -73.9601389691234}",240,4.5,10065
jf3JRaxUYU93x8LFU-8gkA,GupShup,115 E18th St,"{'latitude': 40.7368323318866, 'longitude': -73.9877132715179}",604,4.0,10003
9pMhRYYgV7E9L7pzECtJKA,The Drunken Munkey - UES,338 E 92nd St,"{'latitude': 40.78098, 'longitude': -73.94751}",1290,4.5,10128
xWVHj2XNcxEg79Nkb5Zb6Q,Semma,60 Greenwich Ave,"{'latitude': 40.736054206102615, 'longitude': -74.0005639}",222,4.0,10011
QqrEF8_ZQCGi63cL10J5oA,Chola,232 E 58th St,"{'latitude': 40.76016, 'longitude': -73.96582}",665,4.0,10022
Z_fT0KLZV3y80LHUMlmbig,Khiladi NYC,175 Avenue B,"{'latitude': 40.727536, 'longitude': -73.97926}",192,4.5,10009
t6PzD4uzBOfyCLcd_lT8cQ,Sathi,216 3rd Ave,"{'latitude': 40.73621, 'longitude': -73.98528}",270,4.5,10003
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,150 E 50th St,"{'latitude': 40.7558937072754, 'longitude': -73.9715347290039}",629,4.5,10022
ECUTH1VOWxZ9GwfzblMKzA,Mughlai Indian Cuisine,255 W 55th St,"{'latitude': 40.765394, 'longitude': -73.983272}",160,4.5,10019
IU6pOHR8Re8kvSn0mzhPHg,Jaz Indian Cuisine,813 Ninth Ave,"{'latitude': 40.7659, 'longitude': -73.98741}",123,4.5,10019
t0mizbevBMMNBecgnl7vQg,Anar,935 Amsterdam Ave,"{'latitude': 40.800232646589066, 'longitude': -73.96559153149137}",100,4.5,10025
ZNJ4ij7_xOlKSeMeEh1khA,Rowdy Rooster,149 1st Ave,"{'latitude': 40.728473350506725, 'longitude': -73.98500709999999}",156,4.5,10003
kS2CP48K66yL2TwIhUqy_A,Tamarind,99 Hudson St,"{'latitude': 40.71909, 'longitude': -74.00892}",1098,4.0,10013
7USPKYeaAfxl0Ch9j_1l7A,Moti Mahal Delux,1149 1st Ave,"{'latitude': 40.76213, 'longitude': -73.9605}",552,4.0,10065
m5Whyz8O8jM4DrE808h71g,Darbar Grill,157 E 55th St,"{'latitude': 40.759357, 'longitude': -73.968826}",577,4.0,10022
XKy4Cy4uNgO7rxhH4yFJQQ,Mughlai Indian Cuisine,329 3rd Ave,"{'latitude': 40.739692, 'longitude': -73.982116}",449,4.0,10010
eTzH9lmkmouNlmuJ77i8Ow,Angaar,283 Columbus Ave,"{'latitude': 40.7782, 'longitude': -73.97802}",183,4.0,10023
_7BGw3YFNOTzP1Www3zB7g,Mughlai Grill,6 Clinton St,"{'latitude': 40.7210905, 'longitude': -73.9840446}",493,4.5,10002
15svH3HiVDwHMSIlRYpk6A,Ashoka Indian Restaurant,489 Columbus Ave,"{'latitude': 40.78477, 'longitude': -73.973027}",334,4.0,10024
dOQjniOt57mI9l9CmrCSJQ,Curry India,148 W 49th St,"{'latitude': 40.76006, 'longitude': -73.98306}",190,4.0,10019
FXDMFBM-rV2s5MHzA33d2g,Bombay Grill House,764 9th Ave,"{'latitude': 40.76415, 'longitude': -73.98806}",312,4.0,10019
u1gdMF6vMCdwCilQ6vgyfw,Honest,176 Bleecker St,"{'latitude': 40.72887, 'longitude': -74.00082}",42,4.5,10012
mZALre3ahuetu5X8_uUJew,Thelewala,112 Macdougal St,"{'latitude': 40.72963, 'longitude': -74.00068}",531,4.0,10012
raGF9jAO7JOiIbFQ2_bTAg,India at Time Square,332 W 44th St,"{'latitude': 40.75941459798258, 'longitude': -73.99145881962656}",96,4.5,10036
BPyt7S9TdcR1u571iacg7g,The Kati Roll Company,49 W 39th St,"{'latitude': 40.752819, 'longitude': -73.984587}",1653,3.5,10018
wm10mMj_41_-l_gRhRH3TA,deep indian kitchen - indikitch,940 8th Ave,"{'latitude': 40.76573, 'longitude': -73.98338}",483,4.0,10019
HFIu45xr93jqchnN1YVJeQ,Masalawala & Sons,365 5th Ave,"{'latitude': 40.67148382626093, 'longitude': -73.9842655}",38,4.0,11215
NgD-6ogFGc_c4z5_Ur4k2g,Dhaba Indian Cuisine,108 Lexington Ave,"{'latitude': 40.742364, 'longitude': -73.982813}",1578,3.5,10016
CVpha6hKVu_r1lx6JxNIPg,Veeray da Dhaba,222 1st Ave,"{'latitude': 40.730819, 'longitude': -73.982723}",87,4.5,10009
UiG3MlLDMMZp31XDBM2kvA,Karahi Indian Cuisine,803 9th Ave,"{'latitude': 40.765667, 'longitude': -73.987595}",98,4.5,10019
zVLG_O3AQnvQ53PSJ5mTMA,Om,1531 York Ave,"{'latitude': 40.7726799, 'longitude': -73.9497983}",540,4.0,10028
ePn4BwyXeY8NKN-MWSgfrQ,Kebab Aur Sharab,247 W 72nd St,"{'latitude': 40.77951, 'longitude': -73.98331}",26,4.0,10023
jYhbUh1TV7SCfPxjIhVpcg,Baar Baar,13 E 1st St,"{'latitude': 40.7244378855031, 'longitude': -73.9915524}",1172,4.0,10003
SP4bvMvxel_UPdof_er3HA,Taco Mahal,73 7th Ave S,"{'latitude': 40.73235768476899, 'longitude': -74.00332645767203}",786,4.5,10014
w2-VGvlBCMYo9ko8Y_PzAw,Masala King,64 E 34th St,"{'latitude': 40.747176, 'longitude': -73.981957}",265,4.0,10016
RdETxi25tbocKIcMiW5TxQ,Darbar Fine Indian Cuisine,152 E 46th St,"{'latitude': 40.75358, 'longitude': -73.97348}",595,4.0,10017
JSX6Pk56w4BhgO8eSvCrKg,aRoqa,206 9th Ave,"{'latitude': 40.746065, 'longitude': -74.001254}",389,4.0,10011
gPattIGuKxCgeNjxfEMDjg,Punjabi Junction Of 87th,1665 1st Ave,"{'latitude': 40.777471, 'longitude': -73.949159}",59,5.0,10028
VC1udoc_sbHdFaBr0-bMsA,Bombay Chowk,1378 1st Ave,"{'latitude': 40.76873, 'longitude': -73.9549}",148,4.0,10021
_z2_1TE_1brlvljiGtJ4mA,Aahar Indian Cuisine,10 Murray St,"{'latitude': 40.71334, 'longitude': -74.0081}",426,4.5,10007
tN37MOvqzrmpU0h0PfoDmw,Utsav,1185 Avenue Of The Americas Plz,"{'latitude': 40.75791, 'longitude': -73.9825}",614,3.5,10036
iXSuNKKUBIrBX7zUerlQDQ,Benares,45 Murray St,"{'latitude': 40.71415, 'longitude': -74.009209}",629,4.0,10007
Xl-zlT0NLLiKhym88em22w,Adda Indian Canteen,31-31 Thomson Ave,"{'latitude': 40.745011, 'longitude': -73.934243}",535,4.0,11101
uucP1LoFyamFS0qDwgMXbg,Ghandi Cafe,283 Bleecker St,"{'latitude': 40.73194, 'longitude': -74.0033}",484,4.0,10014
T1CRoZ-f-hwrjdkBvt7_kg,Indian Tanpura,564 Amsterdam Ave,"{'latitude': 40.78869, 'longitude': -73.97468}",183,4.0,10024
_SIoeZKs--95T4OsUKwtJw,Chote Miya,75 9th Ave,"{'latitude': 40.74222, 'longitude': -74.00466}",43,4.0,10011
GaxVczLK1qUuJHOP9VcFsQ,Ananda,210 Thompson St,"{'latitude': 40.728724, 'longitude': -73.999147}",385,4.0,10012
zyQpS4QrYYB0VKXf7JPUlQ,Atithi Indian Cuisine,159 Grand St,"{'latitude': 40.714765, 'longitude': -73.961606}",172,5.0,11249
NVMdf02l1GuzzDb7ESI_qQ,Taste From Everest,102 Lexington Ave,"{'latitude': 40.7422712, 'longitude': -73.9830327}",83,4.5,10016
7DUPGtHqVZHJ3yIufbWLsg,Malai Marke Indian Cuisine,318 E 6th St,"{'latitude': 40.726934, 'longitude': -73.98758}",638,4.0,10003
yV7brOiTLS3Lmwws8e3nXA,Dil-e Punjab Deli,170 9th Ave,"{'latitude': 40.74482, 'longitude': -74.00206}",211,4.5,10011
RARUAVWONyRQovr0D6TGQg,Baazi,2588 Broadway,"{'latitude': 40.7955035, 'longitude': -73.9708505}",56,3.5,10025
fCxjrytrEw_l9vGjSCzszg,Paisley,429 Greenwich St,"{'latitude': 40.722387, 'longitude': -74.0095662}",91,4.5,10013
DZE4ThXa7d0kSXnR3Hb-kg,Junoon,19 W 24th St,"{'latitude': 40.743193, 'longitude': -73.990838}",1683,3.5,10010
Y2I946V78wOdwaUD9chmqg,Roti Roll Bombay Frankie,994 Amsterdam Ave,"{'latitude': 40.8026, 'longitude': -73.96437}",412,4.0,10025
5faOK0osoS-zdEwT21S-Cg,Saravanaa Bhavan,413 Amsterdam Ave,"{'latitude': 40.7835899, 'longitude': -73.97777}",398,3.0,10024
guwS_mhhUjOT5d8sYfEluQ,Adyar Ananda Bhavan,1071 1st Ave,"{'latitude': 40.759381, 'longitude': -73.962489}",390,3.5,10022
t_tWuzMEsoD9GDgAm_0l7g,Swagat,411 Amsterdam Ave,"{'latitude': 40.78353, 'longitude': -73.97782}",432,3.5,10024
V2oWqXcoJkgGeIPOaS9eDA,Masala Times Greenwich Village,194 Bleecker St,"{'latitude': 40.7292728223798, 'longitude': -74.0015978515206}",572,4.0,10012
iYh7mB7PDd5ZvZZ4lFPF1w,Anand Indian Cuisine,304 E 78th St,"{'latitude': 40.77232, 'longitude': -73.955241}",162,4.0,10075
noBCTbD1Ylf5QR7PXy-rkA,Cafe Himalaya,78 E 1st St,"{'latitude': 40.7232289034083, 'longitude': -73.9879441220901}",666,4.0,10009
KXD44wWmrGf7mzyyr0bikw,P.S. Kitchen,246 W 48th St,"{'latitude': 40.760706, 'longitude': -73.986627}",665,4.5,10036
Va_mnsEvBghHXvc7uZIWJQ,Spice Symphony,182 Lexington Ave,"{'latitude': 40.744722, 'longitude': -73.981202}",667,4.0,10016
_nScWpFX3M1K7s30hFEsRw,INDAY,1133 Broadway,"{'latitude': 40.7434986, 'longitude': -73.9892206}",397,4.0,10010
_R6EjbrynW_LFnmWoRqgww,Surya - Madam Ji,154 Bleecker St,"{'latitude': 40.728186, 'longitude': -73.999436}",285,3.5,10012
Rk6TXh7nINbzJoGtI2C5cA,Desi Galli,172 Avenue B,"{'latitude': 40.72739, 'longitude': -73.97978}",129,3.5,10009
NzU2hb0z0jGEOOv0-zTLEQ,Sigiri,91 1st Ave,"{'latitude': 40.726261, 'longitude': -73.986686}",654,4.0,10003
Q7wFlNr4OFU0eCJXcOmopg,Bombay's Indian Restaurant,60 Pearl St,"{'latitude': 40.70344, 'longitude': -74.01109}",254,3.5,10004
