Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
hdiuRS9sVZSMReZm4oV5SA,Da Andrea,35 W 13th St,"{'latitude': 40.736218, 'longitude': -73.99597}",1820,4.5,10011
16ZnHpuaaBt92XWeJHCC5A,Olio e Più,3 Greenwich Ave,"{'latitude': 40.733798036104304, 'longitude': -73.99977392649927}",4030,4.5,10014
OWNmOq-TAsHjGcYdCVclSw,Osteria La Baia,129 W 52nd St,"{'latitude': 40.76189587672743, 'longitude': -73.9806749}",68,4.5,10019
DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,254 West 47th St,"{'latitude': 40.759876, 'longitude': -73.986767}",2606,4.0,10036
rp8S7scxOkVVeG7dNneMGQ,L'Artusi,228 W 10th St,"{'latitude': 40.73372, 'longitude': -74.00513}",2236,4.5,10014
VmdyRRMtUXOWV7F7w0ImwQ,Piccola Cucina Uptown,106 E 60th St,"{'latitude': 40.763174, 'longitude': -73.969046}",283,4.5,10022
vjubSxmdG_HoBBgd39geBw,Nino's 46,39 W 46th St,"{'latitude': 40.7569046125342, 'longitude': -73.980516}",1353,4.0,10036
WG639VkTjmK5dzydd1BBJA,Rubirosa,235 Mulberry St,"{'latitude': 40.722766, 'longitude': -73.996233}",2912,4.5,10012
BPo5XByMdNiXK_i--gqiRA,Duomo51,25 W 51st St,"{'latitude': 40.759979, 'longitude': -73.97824}",13,4.5,10019
OAqsZMbjv66nOMqlimnYuQ,Uva,1486 2nd Ave,"{'latitude': 40.77219299003591, 'longitude': -73.95561517222123}",2702,4.0,10075
JLpEKUYAtzBRQwsUL3RPIA,Il Corso,54 W 55th St,"{'latitude': 40.762441, 'longitude': -73.977206}",422,4.5,10019
22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,200 W 44th St,"{'latitude': 40.75749848725768, 'longitude': -73.98665333142026}",4411,4.0,10036
V3USzFEGhuoXez4G2Rk11A,Tavola,488 9th Ave,"{'latitude': 40.755403, 'longitude': -73.994516}",1235,4.0,10018
AUifp6IDKzmorCM6vY2fug,Pepe Giallo,195 10th Ave,"{'latitude': 40.7468940064083, 'longitude': -74.0049896784992}",760,4.0,10011
raqwXUBlnc0e8c7CYmxEJQ,Scarpetta,88 Madison Ave,"{'latitude': 40.744509, 'longitude': -73.9856}",2218,4.0,10016
5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,147 W 43rd St,"{'latitude': 40.75641, 'longitude': -73.98547}",2484,4.0,10036
h37t9rA06Sr4EetJjKrfzw,Don Angie,103 Greenwich Ave,"{'latitude': 40.73778, 'longitude': -74.00197}",655,4.5,10014
qBGKigOGn_flCx1apxPzlA,Piccola Cucina Osteria,196 Spring St,"{'latitude': 40.72506, 'longitude': -74.00322}",758,4.5,10012
TqNd-LKHuoYo1_mYwqiBFQ,Nonna Dora’s,606 2nd Ave,"{'latitude': 40.74440176159688, 'longitude': -73.97634764480043}",64,4.5,10016
OCTiJwvjoK81WoDwsTkFvA,Paesano of Mulberry Street,136 Mulberry St,"{'latitude': 40.718554, 'longitude': -73.997447}",1336,4.0,10013
LkV96_buOU_n0br4SBO57w,Ci Siamo,440 West 33rd St,"{'latitude': 40.75240549384363, 'longitude': -73.9982864846782}",245,4.5,10001
LXdblKc5g1Dp17xiV-Am1w,Trattoria Dell'Arte,900 7th Ave,"{'latitude': 40.76545990643915, 'longitude': -73.98053136970677}",1158,4.0,10019
dIyKvfhjtm3NuKrMVVt0TA,Lucciola Italian Restaurant,621 Amsterdam Ave,"{'latitude': 40.790362, 'longitude': -73.972629}",78,4.5,10024
MOwB9YYd-Ko6nVgSB-ltQw,Briciola,370 W 51st St,"{'latitude': 40.7637997047278, 'longitude': -73.9880919456482}",982,4.0,10019
HpxYBu1ARzOGvuUcLJe54g,Giardino 54,400 1/2 W 54th St,"{'latitude': 40.7660476, 'longitude': -73.987591}",195,4.5,10019
26emJlm1YMFyOCezfgVk4g,Da Raffaele,883 First Ave,"{'latitude': 40.7535386913133, 'longitude': -73.9666010811925}",218,4.5,10022
yB4ziqFM_7V8JxJas7CHfA,Ulivo,4 W 28th St,"{'latitude': 40.7447371960713, 'longitude': -73.9880339428782}",365,4.0,10001
8oO6j7AlnAbMSJs9Oj9GIw,Osteria Delbianco,22 East 49th St,"{'latitude': 40.7573689002, 'longitude': -73.9764462233}",171,4.5,10017
Q1_UvNyONsaVS_VC1mD9Dw,Osteria Cotta,513 Columbus Ave,"{'latitude': 40.78554, 'longitude': -73.97263}",1032,4.0,10024
Vs8kQ4R381y27AH018gLpg,Supper,156 E 2nd St,"{'latitude': 40.72290786539601, 'longitude': -73.98520720537888}",1460,4.0,10009
