Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
d5vREOMISnwoYEWlDpPAvw,Mogmog,5-35 51st Ave,"{'latitude': 40.74234254828357, 'longitude': -73.95525397259676}",28,5.0,11101
axqp3pGJXnTLgq2QrPyDyQ,Benemon,108 E 4th St,"{'latitude': 40.72551, 'longitude': -73.98838}",696,4.5,10003
FlZ1zdVEKWv7dwqm8Uw8-w,Raku,342 E 6th St,"{'latitude': 40.7264988089246, 'longitude': -73.9866526052356}",1478,4.5,10003
diz6_4TVSP6EdWEZCZ0Acg,Kaoru,306 E 46th St,"{'latitude': 40.75202, 'longitude': -73.96977}",470,4.5,10017
zHsK9YUH3lv8VlQEAPw6gA,Tabata,1435 2nd Ave,"{'latitude': 40.770684, 'longitude': -73.957302}",1,5.0,10021
klAhw3xLQi9GF1tf_HnS7w,Izakaya MEW,53 W 35th St,"{'latitude': 40.750148, 'longitude': -73.9863203465939}",2734,4.5,10001
5ZgCfc1_fotAKUp7n3YJkQ,Towa,36 W 26th St,"{'latitude': 40.7442, 'longitude': -73.99062}",60,4.5,10010
v8y7NLCC25KY_lSbcs3UPA,Maison Kintaro,401 W 24th St,"{'latitude': 40.74746583338948, 'longitude': -74.00104785354299}",39,4.5,10011
_F29-1dkiBmDPSaKQ9_O0Q,Hakata Tonton,35 W 35th St,"{'latitude': 40.749981, 'longitude': -73.985719}",99,4.5,10001
BPZfuPvSxCfoppU4lPFm0Q,DOMODOMO - New York,140 W Houston St,"{'latitude': 40.7280299, 'longitude': -74.00167}",1525,4.0,10012
wjIyCBEpCG_HRp8veiI0YQ,Ootoya Times Square,141 W 41st St,"{'latitude': 40.75487, 'longitude': -73.98599}",1063,4.0,10036
cT48RskMO_o35Ua0tlifyQ,Heno Heno,358 W 46th St,"{'latitude': 40.7605197, 'longitude': -73.99011170000001}",55,4.5,10036
-J8VuX3wGrYSOBu2G0hMsw,Katsu-Hama,11 E 47th St,"{'latitude': 40.75638, 'longitude': -73.97759}",1539,4.0,10017
xFp3xSQ43J-i7nmJfNBsZA,Norikoh,43 W 24th St,"{'latitude': 40.7433, 'longitude': -73.99137}",631,4.0,10010
PkljF7EKWE5CfPD_zr3Jyg,Suram NYC,483 10th Ave,"{'latitude': 40.756492, 'longitude': -73.998173}",7,4.5,10018
YC-wGlO0oOkEIaCEDZv-ag,Yakitori Totto,251 W 55th St,"{'latitude': 40.765375, 'longitude': -73.983114}",1424,4.0,10019
eQ4QUGvuHGBzsOrphsVc6A,Kimura,31 St Marks Pl,"{'latitude': 40.728995, 'longitude': -73.988279}",326,4.5,10003
3QIFBLKp2Z9zA-PXlUEQlg,Okatte Tanto NY,249 E 49th St,"{'latitude': 40.75455, 'longitude': -73.96941}",8,4.5,10017
_IkMfWpOkQXRZtJAYJUJIw,Hama Japanese Cuisine,11 W 51st St,"{'latitude': 40.7597846984863, 'longitude': -73.9776382446289}",414,4.0,10019
kLqCgM4T7NT78bDEC2-TFw,Kaiseki Room by Yamada,145 W 53rd St,"{'latitude': 40.76268, 'longitude': -73.98093}",26,4.5,10019
7iY35991NhQ1AShJZCNZgA,Sakagura,211 E 43rd St,"{'latitude': 40.7516467024541, 'longitude': -73.9729489318165}",1863,4.0,10017
kwq1W0opBnOYKoUXWYyQ5g,Momokawa,1466 1st Ave,"{'latitude': 40.77047, 'longitude': -73.9537}",223,4.0,10075
