Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
Xjswj531-FkRZPpcccU6kQ,Vida Verde,248 W 55th St,"{'latitude': 40.7649503286729, 'longitude': -73.9828372257363}",1492,4.5,10019
Wx6lMnEh7dCmX-9PQF1Ifw,Toloache 50,251 West 50th St,"{'latitude': 40.762227, 'longitude': -73.9856178382696}",2219,4.0,10012
6Ct7OeTRn4caY9g0swFBsw,La Contenta,102 Norfolk St,"{'latitude': 40.71873, 'longitude': -73.98691}",886,4.5,10002
RUsot7ERPbYA_wOKMlVpAQ,Azule Cantina,31 W 52nd St,"{'latitude': 40.7606700654272, 'longitude': -73.97805009037256}",17,4.0,10019
BsDu_kup3lJ2QHb-Botpeg,Covacha,368 Columbus Ave,"{'latitude': 40.78110489839311, 'longitude': -73.97644500326436}",149,4.0,10023
ihzI-4yGesoQuAoIocao8g,Tacuba Hell's Kitchen,802 9th Ave,"{'latitude': 40.76545, 'longitude': -73.98729}",797,4.0,10019
MaoCNdHni6MLjM9iYQqHcg,Frida Midtown,214 E 52nd St,"{'latitude': 40.756610894855896, 'longitude': -73.96919065816803}",117,4.5,10022
DFRpXRHjOHBxYHiuvwaEQQ,Rosa Mexicano,61 Columbus Ave,"{'latitude': 40.77115637915222, 'longitude': -73.9831131}",1462,3.5,10023
xGoSAOhQBNdJMJmPn7CMDQ,MEXiCUE,1440 Broadway,"{'latitude': 40.754109, 'longitude': -73.986015}",662,4.0,10018
WyiTT3VHjzowMnOnUpZ7TQ,Empellón,510 Madison Ave,"{'latitude': 40.75972, 'longitude': -73.97472}",414,4.0,10022
PAJdNrD4HFBN16OAFeDx4A,Ponche Taqueria & Cantina,420 W 49th St,"{'latitude': 40.76319, 'longitude': -73.99045}",558,4.0,10019
Ahx8GsuAGUl8TgqCWP7uXw,Temerario,198 8th Ave,"{'latitude': 40.7434133400872, 'longitude': -73.9996277220286}",367,4.0,10011
sTu5z5HUcIYykg97HHj8xA,El Centro,824 9th Ave,"{'latitude': 40.76602, 'longitude': -73.98688}",904,4.0,10019
